year,deficit_percent
1947,3.16
1948,-1.55
1949,-5.43
1950,-6.33
1951,-5.62
1952,-4.5
1953,-3.23
1954,-2.59
1955,-2.48
1956,-3.53
1957,-2.99
1958,-3.16
1959,-2.94
1960,-1.1
1961,-0.92
1962,-1.87
1963,-2
1964,-2.14
1965,-3.47
1966,-3.88
1967,-3.87
1968,-3.53
1969,-5.98
1970,-7.6
1971,-6.68
1972,-4.25
1973,-2.19
1974,-1.04
1975,0.13
1976,0.71
1977,0.39
1978,0.69
1979,1.75
1980,1.19
1981,2.24
1982,0.66
1983,0.79
1984,1.28
1985,1.44
1986,0.69
1987,0.83
1988,0
1989,-1.87
1990,-1.68
1991,-0.67
1992,1.54
1993,5.06
1994,5.72
1995,4.3
1996,2.91
1997,2.33
1998,0.18
1999,-1.08
2000,-2.14
2001,-2.55
2002,-1.19
2003,0.98
2004,1.22
2005,1.39
2006,0.89
2007,0.54
2008,0.67
2009,3.84
2010,6.53
2011,5.79
2012,4.97
2013,4.91
2014,4.01
2015,3.15
2016,2.14
2017,0.72
