party,leader,start,end
Labour,Clement Atlee,26-06-1945,26-10-1951
Conservative,Sir Winston Churchill,26-10-1951,06-04-1955
Conservative,Sir Anthony Eden,06-04-1955,10-01-1957
Conservative,Harold Macmillian,10-01-1957,19-10-1963
Conservative,Sir Alec Douglas-Home,19-10-1963,16-10-1964
Labour,Harold Wilson,16-10-1964,19-06-1970
Conservative,Edward Heath,19-06-1970,04-03-1974
Labour,Harold Wilson,04-03-1974,05-04-1976
Labour,James Callaghan,05-04-1976,04-05-1979
Conservative,Margaret Thatcher,04-05-1979,28-11-1990
Conservative,John Major,28-11-1990,02-05-1997
Labour,Tony Blair,02-05-1997,27-06-2007
Labour,Gordon Brown,27-06-2007,11-05-2010
Conservative & Liberal Democrat,David Cameron,11-05-2010,08-05-2015
Conservative,David Cameron,08-05-2015,13-07-2016
Conservative,Theresa May,13-07-2016,11-06-2017
Conservative,Theresa May,11-06-2017,
